,year,state,metrodiv_title,county_name,CoC_Code,coc_name,pop_type,pop_size
3189,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2505
3190,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2504
3711,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,2942
3712,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,2942
3713,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,3371
3714,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,3371
3715,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,4315
3716,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,4315
3717,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,4358
3718,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,4358
3719,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,4353
3720,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Unsheltered Homeless,4353
11,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,#N/A
12,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,#N/A
13,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,1214
14,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,1092
15,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,1054
16,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,1094
17,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,750
18,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,753
19,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,1707
20,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Chronically Homeless,1742
541,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,#N/A
542,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,#N/A
543,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,488
544,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,440
545,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,492
546,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,538
547,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,388
548,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,401
549,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,531
550,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Veterans,526
1071,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4341
1072,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4341
1073,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4178
1074,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4257
1075,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4264
1076,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4272
1077,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4040
1078,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,4145
1079,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,5629
1080,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Homeless,5496
1601,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,1104
1602,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,1104
1603,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,852
1604,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,866
1605,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,914
1606,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,895
1607,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,794
1608,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,892
1609,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,1022
1610,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Emergency Shelters,962
2131,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2132,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2133,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2134,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2135,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2136,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2137,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2138,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2139,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2140,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Safe Haven Shelters,0
2661,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,1274
2662,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,1274
2663,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,1114
2664,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,1179
2665,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,1013
2666,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,1040
2667,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,849
2668,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,856
2669,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,744
2670,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Transitional Housing,660
3191,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,2378
3192,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,2378
3193,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,1966
3194,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,2045
3195,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,1927
3196,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,1935
3197,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,1643
3198,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,1748
3199,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,1766
3200,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Total Sheltered Homeless,1633
3721,2009,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,1963
3722,2010,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,1963
3723,2011,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,2212
3724,2012,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,2212
3725,2013,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,2337
3726,2014,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,2337
3727,2015,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,2397
3728,2016,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,2397
3729,2017,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,3863
3730,2018,California,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",Unsheltered Homeless,3863
21,2009,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,#N/A
22,2010,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,#N/A
23,2011,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,743
24,2012,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,753
25,2013,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,754
26,2014,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,775
27,2015,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,621
28,2016,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,384
29,2017,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,331
30,2018,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Chronically Homeless,555
551,2009,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,#N/A
552,2010,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,#N/A
553,2011,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,77
554,2012,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,82
555,2013,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,188
556,2014,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,176
557,2015,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,122
558,2016,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,136
559,2017,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,99
560,2018,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Veterans,102
1081,2009,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2759
1082,2010,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2759
1083,2011,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2415
1084,2012,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2386
1085,2013,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2000
1086,2014,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2009
1087,2015,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2031
1088,2016,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,1730
1089,2017,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,1607
1090,2018,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Total Homeless,2234
1611,2009,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,509
1612,2010,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,509
1613,2011,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,558
1614,2012,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,483
1615,2013,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,414
1616,2014,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,423
1617,2015,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,474
1618,2016,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,454
1619,2017,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,502
1620,2018,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Emergency Shelters,552
2141,2009,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Safe Haven Shelters,0
2142,2010,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Safe Haven Shelters,0
2143,2011,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Safe Haven Shelters,45
2144,2012,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Safe Haven Shelters,22
2145,2013,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Safe Haven Shelters,21
2146,2014,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Safe Haven Shelters,21
2147,2015,California,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,Safe Haven Shelters,24
